,ZONEID,TIMESTAMP,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,year,month,day,hour
43823,1,112010 0:00,140.0,45,47,40,43,54,47,55,52,40,46,40,45,43,54,43,55,41,58,36,55,42,45,47,44,44,2010,1,1,0
43824,1,112010 1:00,134.0,45,46,40,42,53,48,55,52,39,46,39,45,43,55,43,56,41,58,36,54,43,45,47,43,44,2010,1,1,1
43825,1,112010 2:00,128.3,45,45,39,41,52,47,54,50,38,46,39,43,43,50,43,53,41,55,34,52,43,45,46,43,45,2010,1,1,2
43826,1,112010 3:00,123.7,45,36,40,41,51,47,53,50,37,47,38,43,43,50,42,54,39,54,34,53,42,45,46,43,44,2010,1,1,3
43827,1,112010 4:00,122.1,45,36,39,41,50,46,50,49,37,47,37,43,43,48,42,54,40,54,32,52,41,45,45,43,45,2010,1,1,4
43828,1,112010 5:00,123.3,45,43,37,41,48,46,49,48,36,46,37,43,41,46,42,52,39,54,32,50,41,45,45,43,44,2010,1,1,5
43829,1,112010 6:00,128.6,45,43,37,40,47,46,48,47,36,46,36,41,39,45,41,51,39,52,34,49,41,45,45,42,44,2010,1,1,6
43830,1,112010 7:00,134.9,43,42,36,40,46,45,47,46,34,45,36,41,39,45,41,49,39,50,37,48,41,45,44,42,44,2010,1,1,7
43831,1,112010 8:00,141.8,43,41,36,40,46,44,46,46,34,45,35,41,39,44,41,48,38,50,39,47,41,45,44,41,44,2010,1,1,8
43832,1,112010 9:00,153.5,43,44,35,39,46,44,46,46,34,45,37,41,39,43,42,49,38,49,41,47,41,45,44,42,45,2010,1,1,9
43833,1,112010 10:00,164.3,44,43,36,40,47,45,46,46,32,46,41,43,41,44,45,49,39,48,43,48,41,45,45,44,45,2010,1,1,10
43834,1,112010 11:00,170.4,45,34,36,42,47,45,46,46,34,46,44,46,45,43,47,49,40,49,45,48,40,45,46,47,44,2010,1,1,11
43835,1,112010 12:00,171.8,45,37,35,44,47,45,46,47,34,46,44,46,45,42,46,48,46,49,45,48,41,45,47,47,45,2010,1,1,12
43836,1,112010 13:00,169.8,46,40,37,48,48,45,47,47,34,46,45,48,45,42,46,49,47,48,45,48,41,45,47,46,45,2010,1,1,13
43837,1,112010 14:00,168.5,48,42,38,50,47,45,46,46,34,46,45,48,45,42,47,48,47,48,45,47,42,45,47,47,45,2010,1,1,14
43838,1,112010 15:00,166.3,50,43,37,49,46,45,45,47,32,47,47,50,45,41,47,48,50,48,45,46,42,45,48,47,46,2010,1,1,15
43839,1,112010 16:00,166.4,48,44,37,49,48,45,45,47,32,48,46,48,45,41,46,46,49,47,43,46,42,45,48,47,45,2010,1,1,16
43840,1,112010 17:00,171.2,46,43,35,46,47,44,44,47,28,47,44,46,43,40,43,47,46,46,39,46,42,43,46,46,44,2010,1,1,17
43841,1,112010 18:00,184.4,45,42,31,43,45,44,44,43,27,46,41,45,41,41,40,44,42,45,36,45,42,43,43,43,43,2010,1,1,18
43842,1,112010 19:00,187.4,43,41,29,40,43,43,43,40,27,45,38,43,39,40,39,44,39,45,34,44,42,41,40,41,42,2010,1,1,19
43843,1,112010 20:00,186.4,38,39,27,37,40,42,43,40,23,43,35,39,37,40,38,42,37,44,32,42,41,39,35,40,40,2010,1,1,20
43844,1,112010 21:00,186.6,38,38,26,35,38,42,41,39,21,42,33,37,36,40,36,40,34,43,30,39,40,37,34,38,39,2010,1,1,21
43845,1,112010 22:00,183.5,35,37,24,33,38,41,40,38,21,39,27,36,34,40,34,40,34,43,28,38,39,37,36,35,37,2010,1,1,22
43846,1,112010 23:00,179.1,35,36,23,32,38,41,40,38,21,38,30,34,28,40,32,39,32,43,28,39,39,36,34,34,35,2010,1,1,23
43847,1,122010 0:00,175.8,33,36,22,31,37,38,38,35,19,36,29,32,27,40,30,37,31,42,28,38,34,34,33,32,33,2010,1,2,0
43848,1,122010 1:00,176.2,31,34,21,30,36,36,36,35,19,34,28,32,27,40,28,36,31,40,27,36,33,32,33,29,30,2010,1,2,1
43849,1,122010 2:00,179.4,29,33,20,30,34,35,35,33,18,32,27,30,27,38,28,34,28,38,25,34,31,30,31,27,28,2010,1,2,2
43850,1,122010 3:00,184.4,29,32,19,30,33,32,32,32,18,30,26,30,27,36,27,33,28,37,25,33,30,28,30,27,27,2010,1,2,3
43851,1,122010 4:00,190.9,28,24,19,28,32,31,30,31,16,29,24,28,25,34,26,32,28,35,25,31,30,27,29,26,27,2010,1,2,4
43852,1,122010 5:00,198.8,28,30,19,27,31,30,29,30,16,28,24,28,25,32,25,30,26,32,25,29,29,27,27,25,26,2010,1,2,5
43853,1,122010 6:00,209.9,27,28,18,26,31,29,28,29,14,28,24,27,25,30,25,30,26,31,23,28,29,27,26,25,26,2010,1,2,6
43854,1,122010 7:00,222.6,26,28,18,26,30,28,27,28,14,27,20,27,25,29,25,28,25,31,21,27,29,27,25,25,25,2010,1,2,7
43855,1,122010 8:00,234.2,26,29,18,24,30,29,28,28,14,27,23,27,25,29,24,29,25,31,23,28,29,27,25,24,25,2010,1,2,8
43856,1,122010 9:00,240.3,29,30,18,28,31,30,30,29,14,28,25,28,27,30,26,31,27,32,27,30,30,28,29,26,27,2010,1,2,9
43857,1,122010 10:00,240.1,32,31,18,30,32,32,31,32,16,30,27,30,28,30,28,33,29,34,27,31,30,30,31,28,29,2010,1,2,10
43858,1,122010 11:00,235.1,33,32,19,31,34,33,32,33,16,32,28,31,28,32,29,33,31,35,27,33,31,32,32,30,31,2010,1,2,11
